URL,Name,FullName,Team,POS,AGE,HT,WT,COLLEGE,SALARY
https://www.espn.com/nba/player/_/id/4395630/devin-vassell,Devin Vassell24,devinvassell,San AntonioSpurs,SG,21,"6' 5""",200 lbs,Florida State,"$4,235,160"
https://www.espn.com/nba/player/_/id/4277890/lonnie-walker-iv,Lonnie Walker IV1,lonniewalkeriv,San AntonioSpurs,SG,22,"6' 4""",204 lbs,Miami (FL),"$4,447,896"
https://www.espn.com/nba/player/_/id/3078576/derrick-white,Derrick White4,derrickwhite,San AntonioSpurs,PG,27,"6' 4""",190 lbs,Colorado,"$15,178,571"
https://www.espn.com/nba/player/_/id/4397033/joe-wieskamp,Joe Wieskamp15,joewieskamp,San AntonioSpurs,SF,22,"6' 6""",205 lbs,Iowa,--
https://www.espn.com/nba/player/_/id/3244/thaddeus-young,Thaddeus Young30,thaddeusyoung,San AntonioSpurs,PF,33,"6' 8""",235 lbs,Georgia Tech,"$14,190,000"
https://www.espn.com/nba/player/_/id/3037789/bogdan-bogdanovic,Bogdan Bogdanovic13,bogdanbogdanovic,AtlantaHawks,SG,29,"6' 6""",225 lbs,--,"$18,000,000"
https://www.espn.com/nba/player/_/id/3102529/clint-capela,Clint Capela15,clintcapela,AtlantaHawks,C,27,"6' 10""",256 lbs,--,"$18,603,448"
https://www.espn.com/nba/player/_/id/3908845/john-collins,John Collins20,johncollins,AtlantaHawks,PF,24,"6' 9""",226 lbs,Wake Forest,"$23,000,000"
https://www.espn.com/nba/player/_/id/4432173/sharife-cooper,Sharife Cooper2,sharifecooper,AtlantaHawks,PG,20,"6' 1""",176 lbs,Auburn,--
https://www.espn.com/nba/player/_/id/2534781/gorgui-dieng,Gorgui Dieng10,gorguidieng,AtlantaHawks,C,31,"6' 10""",248 lbs,Louisville,"$4,000,000"
https://www.espn.com/nba/player/_/id/3428/danilo-gallinari,Danilo Gallinari8,danilogallinari,AtlantaHawks,PF,33,"6' 10""",236 lbs,--,"$20,475,000"
https://www.espn.com/nba/player/_/id/2488958/solomon-hill,Solomon Hill18,solomonhill,AtlantaHawks,SF,30,"6' 6""",226 lbs,Arizona,"$1,669,178"
https://www.espn.com/nba/player/_/id/4066372/kevin-huerter,Kevin Huerter3,kevinhuerter,AtlantaHawks,SG,23,"6' 7""",198 lbs,Maryland,"$4,253,357"
https://www.espn.com/nba/player/_/id/4065732/deandre-hunter,De'Andre Hunter12,deandrehunter,AtlantaHawks,SF,23,"6' 8""",221 lbs,Virginia,"$7,775,400"
https://www.espn.com/nba/player/_/id/4701230/jalen-johnson,Jalen Johnson1,jalenjohnson,AtlantaHawks,SF,19,"6' 8""",219 lbs,Duke,"$2,659,580"
https://www.espn.com/nba/player/_/id/3893019/timothe-luwawu-cabarrot,Timothe Luwawu-Cabarrot7,timotheluwawucabarrot,AtlantaHawks,SG,26,"6' 7""",215 lbs,--,"$1,669,178"
https://www.espn.com/nba/player/_/id/4066269/skylar-mays,Skylar Mays4,skylarmays,AtlantaHawks,SG,24,"6' 4""",205 lbs,LSU,--
https://www.espn.com/nba/player/_/id/4431680/onyeka-okongwu,Onyeka Okongwu17,onyekaokongwu,AtlantaHawks,PF,20,"6' 8""",240 lbs,USC,"$6,104,280"
https://www.espn.com/nba/player/_/id/4395627/cam-reddish,Cam Reddish22,camreddish,AtlantaHawks,SF,22,"6' 8""",217 lbs,Duke,"$4,670,160"
https://www.espn.com/nba/player/_/id/2799/lou-williams,Lou Williams6,louwilliams,AtlantaHawks,SG,35,"6' 2""",175 lbs,--,"$5,000,000"
https://www.espn.com/nba/player/_/id/3064447/delon-wright,Delon Wright0,delonwright,AtlantaHawks,SG,29,"6' 5""",185 lbs,Utah,"$8,526,316"
https://www.espn.com/nba/player/_/id/4277905/trae-young,Trae Young11,traeyoung,AtlantaHawks,PG,23,"6' 1""",164 lbs,Oklahoma,"$8,326,471"
https://www.espn.com/nba/player/_/id/4432816/lamelo-ball,LaMelo Ball2,lameloball,CharlotteHornets,PG,20,"6' 7""",180 lbs,--,"$8,231,760"
