Place,Team,id,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER
Home,DenverNuggets,den,8,,,104.1,10.1,36.1,46.3,24.5,8.1,3.5,13.4,19.9,1.8,
Away,DenverNuggets,den,6,,,102.8,8.7,34.5,43.2,23.2,8.0,5.2,13.7,16.7,1.7,
Home,MinnesotaTimberwolves,min,9,,,100.9,12.6,31.6,44.1,21.3,10.2,6.2,16.9,23.3,1.3,
Away,MinnesotaTimberwolves,min,5,,,110.0,13.6,32.2,45.8,26.2,7.6,5.2,14.6,22.2,1.8,
Home,Oklahoma CityThunder,okc,8,,,101.9,10.5,36.6,47.1,20.3,7.8,5.1,13.3,17.4,1.5,
Away,Oklahoma CityThunder,okc,6,,,94.7,10.2,38.3,48.5,19.7,7.0,4.0,16.3,16.8,1.2,
Home,PortlandTrail Blazers,por,8,,,115.9,10.4,37.8,48.1,24.0,8.6,5.6,12.5,18.3,1.9,
Away,PortlandTrail Blazers,por,8,,,102.9,10.9,33.5,44.4,23.3,7.6,4.0,14.1,18.5,1.6,
Home,UtahJazz,utah,7,,,111.9,9.7,37.1,46.9,21.0,7.1,5.0,12.9,19.9,1.6,
Away,UtahJazz,utah,7,,,109.9,10.7,37.0,47.7,20.7,8.4,5.4,14.6,18.1,1.4,
